Country	FRA 2015 2020	GFC30 2010 2020	TMF 2010 2020
PNG	34000	104678	48691
Solomon Islands	NA	13460	1751
Vanuatu	NA	939	564
Fiji	NA	2663	NA
New Caledonia	NA	1328	2425
